FID,OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,COD_COMUNA,CON_LAB,AMB_NEG,CON_SOC,CON_MOV,SAL_AMB,VIV_EN,ICVU_2022,Shape__Area,Shape__Length
3,249,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8106,LOTA,8106,68.82252158,18.7100828,35.4851149,40.23312009,67.6494022,37.42397047,44.72070201,180821659.460938,80583.6139254482
6,257,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8107,PENCO,8107,66.75285085,32.15996958,42.07363835,56.53363693,67.51343762,38.40957685,50.5738517,167710460.777344,85196.0087896514
12,264,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8111,TOMÉ,8111,49.84689961,29.35615635,48.72541811,51.42131301,59.6226942,45.22842189,47.3668172,771827563.535156,182212.482226553
26,278,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8103,CHIGUAYANTE,8103,74.82656001,30.97790491,48.79901436,62.27507297,70.31620035,47.22869389,55.73724108,99210118.3398438,60471.5870352888
31,283,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8112,HUALPÉN,8112,76.89303951,33.66639488,47.33185247,64.14765588,63.66068694,42.29073716,54.66506114,71218738.5234375,57747.7138469692
47,299,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8102,CORONEL,8102,71.91763181,35.82234033,45.27246453,53.68833023,69.02001775,41.93942711,52.94336863,429472775.175781,156823.693640032
54,306,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8108,SAN PEDRO DE LA PAZ,8108,77.60813349,44.35820634,44.23251181,67.34756107,69.59849218,41.39221335,57.42285304,143580130.652344,63232.791887348
62,314,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8110,TALCAHUANO,8110,71.52889522,33.19295033,44.59454234,63.81063961,61.25895151,44.6786261,53.17743419,145493090.84375,122103.033359635
72,324,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8301,LOS ÁNGELES,8301,53.20477458,39.62051088,41.49807247,52.92951964,69.78716741,43.37943533,50.06991338,2779001546.4375,317642.819713737
78,330,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8101,CONCEPCIÓN,8101,72.51644475,50.22510194,52.20246867,68.35174111,59.24117094,44.31974522,57.80944544,337655453.707031,104779.936246271
