X,Y,FID,FID_1,LABELID,POINT_X,POINT_Y,FID_2,COMUNAREAL,VAL_COM,OBJECTID,A_O,IDACCIDENT,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,TIPO,OBJECTID_1,Año,Idaccide_1,Claseaccid,Fecha,Hora,Cód_Regi,Región,Cód_Comun,Comuna_1,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa__CON,Cód_Cau_1,Causa,Cód_Calle,Calle_Un_1,Cód_Cal_1,Calle_Do_1,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Km_Vía_Fe,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos
-8138402.06132715,-4410156.43134877,3271,13730,1402904,-73.1085096,-36.792019,175,HUALPEN,1,55375,2021,1402904,REGION BIO BIO,8112,HUALPEN,GRAN BRETA??ªA,BREMEN,0,"GRAN BRETA??ªA & BREMEN, HUALPEN",CHILE,GEOMETRIC_CENTER,75229,2021,1402904,1,2021/12/10 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,10,ATROPELLO,10,ATROPELLO,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,1,IMPRUDENCIA DEL CONDUCTOR,31,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,0,GRAN BRETAÑA,0,BREMEN,BREMEN - GRAN BRETAÑA,0, , , , ,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,1
-8138987.77995991,-4410153.26197178,3272,13731,1344632,-73.1137712,-36.7919962,175,HUALPEN,1,14698,2021,1344632,REGION BIO BIO,8112,HUALPEN,POSTDAM,PASAJE UNO,0,"POSTDAM & PASAJE UNO, HUALPEN",CHILE,GEOMETRIC_CENTER,20262,2021,1344632,1,2021/04/20 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,30,COLISION,30,COLISION,1,URBANA,16,CRUCE SIN SEÑALIZACION,1,IMPRUDENCIA DEL CONDUCTOR,32,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,0,POSTDAM,0,PASAJE UNO,PASAJE UNO - POSTDAM,0, , , , ,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,2,HUMEDO,2,NUBLADO,0,0,0,0,2
-8135990.78096903,-4410129.85309376,3273,13732,1388574,-73.0868487,-36.7918278,175,HUALPEN,1,45408,2021,1388574,REGION BIO BIO,8112,HUALPEN,PATRIA NUEVA,CRISTOBAL COLON,0,"PATRIA NUEVA & CRISTOBAL COLON, HUALPEN",CHILE,GEOMETRIC_CENTER,62077,2021,1388574,1,2021/10/20 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,93,CONDUCIR VEHICULO EN RETROCESO,0,PATRIA NUEVA,0,CRISTOBAL COLON,CRISTOBAL COLON - PATRIA NUEVA,0, , , , ,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8137171.94755804,-4410112.4910791,3274,13733,1387751,-73.0974593,-36.7917029,175,HUALPEN,1,44949,2021,1387751,REGION BIO BIO,8112,HUALPEN,TOSCANIA,GRAN BRETA??ªA,0,"TOSCANIA & GRAN BRETA??ªA, HUALPEN",CHILE,GEOMETRIC_CENTER,61443,2021,1387751,1,2021/10/17 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,30,COLISION,30,COLISION,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,TOSCANIA,0,GRAN BRETAÑA,GRAN BRETAÑA - TOSCANIA,0, , , , ,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,1
-8137847.28951284,-4410098.57646649,3275,13734,1327292,-73.103526,-36.7916028,175,HUALPEN,1,2323,2021,1327292,REGION BIO BIO,8112,HUALPEN,PAMPLONA,ALEMANIA,0,"PAMPLONA & ALEMANIA, HUALPEN",CHILE,GEOMETRIC_CENTER,3186,2021,1327292,1,2021/01/16 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,30,COLISION,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,10,DESOBEDIENCIA A SEÑALIZACION,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,0,PAMPLONA,0,ALEMANIA,ALEMANIA - PAMPLONA,0, , , , ,2,2,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,1
-8137847.28951284,-4410098.57646649,3276,13735,1336356,-73.103526,-36.7916028,175,HUALPEN,1,9176,2021,1336356,REGION BIO BIO,8112,HUALPEN,ALEMANIA,PAMPLONA,0,"ALEMANIA & PAMPLONA, HUALPEN",CHILE,GEOMETRIC_CENTER,12819,2021,1336356,1,2021/03/07 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,30,COLISION,30,COLISION,1,URBANA,16,CRUCE SIN SEÑALIZACION,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,ALEMANIA,0,PAMPLONA,ALEMANIA - PAMPLONA,0, , , , ,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,1,0,0,1
-8138423.83541955,-4410069.6908452,3277,13736,1399113,-73.1087052,-36.791395,175,HUALPEN,1,53067,2021,1399113,REGION BIO BIO,8112,HUALPEN,GRAN BRETA??ªA,SILESIA,0,"GRAN BRETA??ªA & SILESIA, HUALPEN",CHILE,GEOMETRIC_CENTER,72146,2021,1399113,1,2021/11/28 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,30,COLISION,30,COLISION,1,URBANA,16,CRUCE SIN SEÑALIZACION,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,GRAN BRETAÑA,0,SILESIA,GRAN BRETAÑA - SILESIA,0, , , , ,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,3,0
-8135995.82374196,-4410059.12634495,3278,13737,1358252,-73.086894,-36.791319,175,HUALPEN,1,23571,2021,1358252,REGION BIO BIO,8112,HUALPEN,CRISTOBAL COLON, ,8376,"CRISTOBAL COLON 8376, HUALPEN",CHILE,RANGE_INTERPOLATED,32487,2021,1358252,1,2021/06/18 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,50,CHOQUE,40,CHOQUE,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,CRISTOBAL COLON,0, ,- CRISTOBAL COLON,8376, , , , ,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,2
-8135339.01648238,-4410048.99277496,3279,13738,1359395,-73.0809938,-36.7912461,175,HUALPEN,0,24651,2021,1359395,REGION BIO BIO,8101,CONCEPCION,LOS GORRIONES, ,621,"LOS GORRIONES 621, CONCEPCION",CHILE,RANGE_INTERPOLATED,33977,2021,1359395,1,2021/06/25 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,13,CAUSAS NO DETERMINADAS,97,CAUSAS NO DETERMINADAS,0,LOS GORRIONES,0, ,- LOS GORRIONES,621, , , , ,2,2,2,BIDIRECCIONAL,5,RIPIO,1,BUENO,0, ,2,NUBLADO,0,0,0,0,1
-8138430.4700612,-4410042.70968839,3280,13739,1345258,-73.1087648,-36.7912009,175,HUALPEN,0,14410,2021,1345258,REGION BIO BIO,8110,TALCAHUANO,GRAN BRETA??ªA, ,3795,"GRAN BRETA??ªA 3795, TALCAHUANO",CHILE,RANGE_INTERPOLATED,19866,2021,1345258,1,2021/04/18 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8110,TALCAHUANO,70,VOLCADURA,70,VOLCADURA,1,URBANA,1,TRAMO DE VIA RECTA,4,ALCOHOL EN CONDUCTOR,24,CONDUCCION EN ESTADO DE EBRIEDAD,0,GRAN BRETAÑA,0, ,- GRAN BRETAÑA,3795, , , , ,1,1,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,1,0,0,0
