X,Y,FID,Año,IdAccident,Latitud,longitud,ClaseAccid,Fecha,Hora,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves
-8053173.56599431,-4507308.46459811,3197,2024,1611531,-37.48772,-72.342889,1,2024/05/16 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,COLISION LATERAL,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LOS CARRERA,FRANCISCO ENCINA,FRANCISCO ENCINA - LOS CARRERA,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8053482.47758126,-4505265.73042413,3198,2024,1621734,-37.473158,-72.345664,1,2024/06/30 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,RICARDO VICUNA, ,- RICARDO VICUNA,147, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8051352.71308341,-4504372.14184455,3199,2024,1626613,-37.466787,-72.326532,1,2024/07/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LAS INDUSTRIAS,ALEMANIA,ALEMANIA - LAS INDUSTRIAS,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8129817.03540548,-4426067.75455557,3200,2024,1611532,-36.906397,-73.031389,1,2024/05/08 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CHIGUAYANTE,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE CON SENAL PARE,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,8 ORIENTE,CALLE UNO,8 ORIENTE - CALLE UNO,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,NUBLADO,0,0,0,1
-8136392.56640715,-4412282.3504511,3201,2024,1621742,-36.807311,-73.090458,1,2024/03/10 00:00:00+00,1899/12/30 00:00:00+00,REGION METROPOLITANA,PEDRO AGUIRRE CERDA,CHOQUE FRONTAL,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,MAIPU, ,- MAIPU,3301, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1
-8053770.12714547,-4504862.47705057,3202,2024,1626615,-37.470283,-72.348248,1,2024/07/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,COLISION POR ALCANCE,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,VILLAGRAN,LAUTARO,LAUTARO - VILLAGRAN,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,MOJADO,LLUVIA,0,0,0,0
-8170493.51129982,-4551628.36457315,3203,2024,1611533,-37.802963,-73.396792,1,2024/05/11 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CANETE,CHOQUE,CHOQUE,URBANA,TRAMO DE VIA RECTA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,SERRANO, ,- SERRANO,531, , ,BIDIRECCIONAL,CONCRETO,BUENO,HUMEDO,NUBLADO,0,0,0,0
-8139009.6876357,-4398592.53396799,3204,2024,1621745,-36.708785,-73.113968,1,2024/06/27 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TALCAHUANO,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,ALMIRANTE VILLARROEL, ,- ALMIRANTE VILLARROEL,425, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8055191.00912596,-4504707.35136202,3205,2024,1626616,-37.469177,-72.361012,1,2024/07/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,CHOQUE LADO/LADO,CHOQUE,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,PADRE HURTADO,COLO COLO,COLO COLO - PADRE HURTADO,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,HUMEDO,NUBLADO,0,0,0,0
-8138626.63726788,-4402183.56552507,3206,2024,1621747,-36.734642,-73.110527,1,2024/05/27 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TALCAHUANO,COLISION LATERAL,COLISION,URBANA,CRUCE CON SENAL PARE,DESOBEDIENCIA A SENALIZACION,SENALIZACION DESOBEDECER SENAL PARE,ECHEVERRIA,SIMPSON,ECHEVERRIA - SIMPSON,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8135798.34296529,-4405642.5539388,3207,2024,1621749,-36.75954,-73.08512,1,2024/06/26 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TALCAHUANO,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,MONSENOR ALARCON, ,- MONSENOR ALARCON,5279, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1
-8055209.59948092,-4505714.86774435,3208,2024,1611534,-37.47636,-72.361179,1,2024/05/16 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,BAQUEDANO,CAMILO HENRIQUEZ,BAQUEDANO - CAMILO HENRIQUEZ,0, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0
-8129195.76132736,-4428135.03351742,3209,2024,1611535,-36.921245,-73.025808,1,2024/05/09 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CHIGUAYANTE,COLISION PERPENDICULAR,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,COCHRANE,VENECIA,COCHRANE - VENECIA,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8130718.94591989,-4421001.50372556,3210,2024,1611542,-36.869997,-73.039491,1,2024/05/10 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CHIGUAYANTE,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE CON SENAL PARE,DESOBEDIENCIA A SENALIZACION,SENALIZACION DESOBEDECER SENAL PARE,ANTILHUE,NAHUELBUTA,ANTILHUE - NAHUELBUTA,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8139316.48415233,-4406460.57750032,3211,2024,1621750,-36.765427,-73.116724,1,2024/06/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TALCAHUANO,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,VIRAJES INDEBIDOS,GRAN BRETANA, ,- GRAN BRETANA,4785, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
