X,Y,FID,POINT_X,POINT_Y,Idaccident,Año,Claseaccid,Fecha,Cód_Regi,Región,Cód_Comun,Comuna,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa,Cód_Cau_1,Causa__CON,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Pistas_de,Pistas_d_1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora_1
-8161727.6579973,-4473582.40610937,2230,-73.318047,-37.246935,1464850,2022,1,2022/07/12 00:00:00+00,8,REGION BIO BIO,8202,ARAUCO,53,CHOQUE POSTERIOR,40,CHOQUE,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,ESMERALDA,0,CAUPOLICAN,CAUPOLICAN - ESMERALDA,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,10:50:00
-8139482.3501936,-4400177.01089741,2231,-73.118214,-36.720195,1464862,2022,1,2022/07/25 00:00:00+00,8,REGION BIO BIO,8110,TALCAHUANO,51,CHOQUE FRONTAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,72,VELOCIDAD NO RAZONABLE NI PRUDENTE,7,VELOCIDAD IMPRUDENTE,0,VALDIVIA,0,0,- VALDIVIA,905,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,0,12:00:00
-8054975.04931382,-4504677.70114481,2232,-72.359072,-37.468966,1464907,2022,1,2022/08/03 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,COLO COLO,0,URENDA,COLO COLO - URENDA,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,13:40:00
-8056142.87982783,-4505788.63651921,2233,-72.369563,-37.476886,1464921,2022,1,2022/08/03 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,32,COLISION LATERAL,30,COLISION,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,64,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,10,DESOBEDIENCIA A SEÑALIZACION,0,PADRE HURTADO,0,PATRICIO LYNCH,PADRE HURTADO - PATRICIO LYNCH,0,0,0,0,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,3,18:50:00
-8055214.73130944,-4503829.22346742,2234,-72.361225,-37.462916,1464928,2022,1,2022/08/03 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,10,DESOBEDIENCIA A SEÑALIZACION,0,BOGOTA,0,LOS ATAVALOS,BOGOTA - LOS ATAVALOS,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,1,14:30:00
-8052238.51566749,-4508092.75484898,2235,-72.334489,-37.49331,1464930,2022,1,2022/08/03 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,52,CHOQUE LATERAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,63,SEÑALIZACION DESOBEDECER INDICACION CARABINERO SERVICIO,10,DESOBEDIENCIA A SEÑALIZACION,0,LAUQUEN,0,PETROHUE,LAUQUEN - PETROHUE,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,1,0,0,0,18:45:00
-8130209.20283959,-4412217.92170243,2236,-73.034912,-36.806848,1464943,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,65,CHOQUE LADO/LADO,40,CHOQUE,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,ALONSO DE RIBERA,0,JOSE MIGUEL GARCIA,ALONSO DE RIBERA - JOSE MIGUEL GARCIA,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,07:30:00
-8132009.5061725,-4413326.30841116,2237,-73.051084,-36.814819,1464959,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,32,COLISION LATERAL,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,97,CAUSAS NO DETERMINADAS,13,CAUSAS NO DETERMINADAS,0,MANUEL RODRIGUEZ,0,ANGOL,ANGOL - MANUEL RODRIGUEZ,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,08:02:00
-8161041.59597554,-4473287.25852354,2238,-73.311884,-37.244824,1464963,2022,1,2022/07/20 00:00:00+00,8,REGION BIO BIO,8202,ARAUCO,32,COLISION LATERAL,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,10,DESOBEDIENCIA A SEÑALIZACION,0,KORNER,0,CARLOS CONDELL,CARLOS CONDELL - KORNER,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,1,17:10:00
-8132118.19852331,-4413404.2735701,2239,-73.052061,-36.81538,1464966,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,65,CHOQUE LADO/LADO,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,97,CAUSAS NO DETERMINADAS,13,CAUSAS NO DETERMINADAS,0,TUCAPEL,0,MANUEL RODRIGUEZ,MANUEL RODRIGUEZ - TUCAPEL,0,0,0,0,2,0,1,UNIDIRECCIONAL,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,0,2,11:45:00
