FID,type,nombre,comuna,nombre_reg,nombre_com,Shape__Length,calle_join_key
216536,residential,Camino Club Militar,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,941.082069602485,CAMINO CLUB MILITAR
216537,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,88.3915228241466,
216538,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,166.114623087801,
216540,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,106.939501164287,
216541,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,289.158059366578,
216542,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,292.247164695958,
216543,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,1101.11819844432,
216544,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,305.049314901278,
216545,living_street,San Pedro,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,489.943642078014,SAN PEDRO
216546,living_street,Luis Acevedo,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,420.361422540082,LUIS ACEVEDO
216570,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,158.844352235005,
216571,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,121.010150835819,
216572,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,83.9979149889135,
216573,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,121.303006857646,
216574,residential,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,533.413548425389,
216575,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,146.106142695191,
216576,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,86.5315242316797,
216577,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,175.560998437391,
216578,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,121.470683108434,
216579,residential,Roble,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,428.828517799903,ROBLE
216580,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,209.730834795418,
216581,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,121.15815516061,
216582,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,41.6379192815309,
216583,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,152.588859685819,
216584,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,80.0530299834753,
216585,residential,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,165.474021564885,
216590,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,1870.95780859558,
216591,residential,Lonquimay,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,335.071934809312,LONQUIMAY
216592,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,190.381606280039,
216593,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,700.016897194024,
