FID,OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,COD_COMUNA,CON_LAB,AMB_NEG,CON_SOC,CON_MOV,SAL_AMB,VIV_EN,ICVU_2023,Shape__Area,Shape__Length
3,249,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8106,LOTA,8106,44.20860584,11.94984999,36.78334348,51.99210986,74.96984042,42.81,41.62780975,180821659.460938,80583.6139254482
6,257,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8107,PENCO,8107,63.86571593,15.67188496,39.21872172,55.22300548,74.3592056,39.7,46.24835612,167710460.777344,85196.0087896514
12,264,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8111,TOMÉ,8111,62.08000923,12.77268668,45.47638293,55.48092122,71.30770556,46.17,47.38662288,771827563.535156,182212.482226553
26,278,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8103,CHIGUAYANTE,8103,70.95052713,16.60177191,53.4122534,63.1854983,79.75953775,51.27,53.68432892,99210118.3398438,60471.5870352888
31,283,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8112,HUALPÉN,8112,61.88096965,16.80696239,44.03396718,67.98194453,71.18746559,45,49.42396547,71218738.5234375,57747.7138469692
47,299,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8102,CORONEL,8102,67.87082118,19.43187125,45.15942856,55.22195567,70.7460553,43.18,48.64341516,429472775.175781,156823.693640032
54,306,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8108,SAN PEDRO DE LA PAZ,8108,80.70797491,35.23339377,48.68445381,65.42907884,73.27383208,51.12,57.87553347,143580130.652344,63232.791887348
62,314,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8110,TALCAHUANO,8110,79.92155169,34.99333002,46.59834778,69.68476641,66.67970184,44.99,55.54621266,145493090.84375,122103.033359635
72,324,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8301,LOS ÁNGELES,8301,65.06073269,24.87459847,39.30346915,57.51510339,69.51081514,43.6,48.57815924,2779001546.4375,317642.819713737
78,330,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8101,CONCEPCIÓN,8101,80.12097079,36.48285266,51.13947992,71.4400647,62.29963052,38.61,56.17382814,337655453.707031,104779.936246271
